	ヶ
fortepiano	フォルテピアノ
fortissimo	フォルティッシモ
fortune	フォーチュン
fortune-teller	フォーチュンテラー
forty	フォーティ
forum	フォーラム
forward	フォワード
forwarding	フォワーディング
foul	ファール
foundation	ファウンデーション
foundry	ファウンダリ
fountainpen	ファウンテンペン
four	フォア
four-beat	フォービート
four-in-hand	タイカラー
fourteen	フォーティーン
fox	キツネ
fox-trot	フォックストロット
foxberry	コケモモ
foxglove	ジギタリス
foxhound	フォックスハウンド
foxtrot	フォックストロット
fractal	フラクタル
fraction	フラクション
fractional	フラクショナル
fracture	リス
fradiomycin	フラジオマイシン
fragment	フラグメント
fragmentation	フラグメンテーション
fragrance	フレグランス
frame	フレーム
frame-up	フレームアップ
framelock	フレームロック
framer	フレーマ
framework	フレームワーク
framing	フレーミング
franc	フラン
franchise	フランチャイズ
francium	フランシウム
francolin	シャコ
francophonie	フランコフォニー
francophony	フランコフォニー
frank	フランク
frankfurter	フランクフルター
frappe	フラッペ
fraternity	クラブ
freak	フリーク
free	フリー
free-hand	フリーハンド
free-lancer	フリーランサー
free-loader	ルンペン
free-software	フリーソフト
freedom	フリーダム
freesia	フリージア
freestyle	フリースタイル
freeware	フリーウェア
freeway	エクスプレスウエー
freeze	フリーズ
freeze-dry	フリーズドライ
freezer	フリーザー
freezing	フリージング
fresco	フラスコ
fresh	フレッシュ
fresher	フレッシャー
freshman	ヒラ
fret	フレット
fretless	フレットレス
fricassee	フリカッセ
friction	フリクション
frictionlessly	スッスッ
fried	フライド
friend	アミ
friendly	フレンドリ
friends	フレンズ
friendship	フレンドシップ
frier	フライヤー
frieze	フリーズ
frigate	フリゲート
fright	フライト
frigidity	フリジディティー
frill	フリル
fringe	フリンジ
frisky	エッチ
fritter	フリッター
frock	フロック
frog	カエル
frogfish	イザリウオ
froghopper	アワフキムシ
frogman	フロッグマン
front	フロント
front-end	フロントエンド
frontier	フロンティア
frost	フロスト
frottage	フロッタージュ
frozen	フローズン
fructose	フルクトース
fruit	フルーツ
fruitcake	フルーツケーキ
fruity	フルーティ
frustration	フラストレーション
fryer	フライヤー
frying	フライング
fuck	ファック
fucking	ファッキン
fucoxanthin	フコキサンチン
fuehrer	フューラー
fuel	フューエル
fugato	フガート
fughetta	フゲッタ
fugu	フグ
fugue	フーガ
fuhrer	フューラー
fulgurite	フルグライト
full	フル
full-bodied	メリハリ
full-breasted	グラマー
full-duplex	フルデュプレックス
full-fashioned	フルファッション
full-height	フルハイト
full-just-low	フルジャストロー
full-length	フルレングス
full-timer	フルタイマー
fullback	フルバック
fullerene	フラーレン
fumble	ファンブル
fun	ファン
function	ファンクション
functionalism	ファンクショナリズム
functor	ファンクタ
fund	ファンド
fundamental	ファンダメンタル
fundamentalism	ファンダメンタリズム
fundamentals	イロハ
funk	ファンク
funky	ファンキー
funnel	ロート
funny	ファニー
funt	フント
fur	ファー
furfural	フルフラール
furlong	ファーロング
furnace	ファーネス
furniture	ファーニチャー
furosemide	フロセミド
fuse	ヒューズ
fusion	フュージョン
fustian	ファスチャン
futility	ペケ
future	フューチャー
futurism	フューチュリズム
fuzz	ファズ
fuzzy	ファジィ
g-string	ヒモパン
gabardine	ガバージン
gaberdine	ガバージン
gadfly	アブ
gadget	ガジェット
gadolinium	ガドリニウム
gaff	ギャフ
gag	ギャグ
gagman	ギャグマン
gain	ゲイン
gaiter	ゲートル
gaiters	スパッツ
gal	ガル
galactose	ガラクトース
galago	ガラゴ
galah	モモイロインコ
galanthamine	ガランタミン
galantine	ガランティン
galaxy	ギャラクシー
gale	ゲイル
galingale	カヤツリグサ
galleon	ガレオン
gallery	ガレリー
galley	ガリー
galliard	ガイヤルド
gallium	ガリウム
gallon	ガロン
gallop	ギャロップ
galop	ガロップ
galoshes	オーバーシューズ
galvanometer	ガルバノメーター
gambier	ガンビール
gambir	ガンビール
gambler	ギャンブラー
gambling	ギャンブル
gamboge	ガンボージ
gambuh	ガンブー
gambusia	カダヤシ
game	ゲーム
gamelan	ガムラン
gamer	ゲーマー
gamma	ガンマ
gammon	ギャモン
ganache	ガナッシュ
ganciclovir	ガンシクロビル
gang	ギャング
ganglion	ガングリオン
ganglioside	ガングリオシド
gangster	ギャング
gangway	タラップ
gap	ギャップ
gar	ガー
garage	ガレージ
garbage	ガーベージ
garbanzo	ガルバンソ
garbology	ガーボロジー
garden	ガーデン
gardenia	クチナシ
gardening	ガーデニング
garfish	ガー
gargoyle	ガーゴイル
garlic	ガーリック
garment	ガーメント
garnet	ガーネット
garnish	ガーニッシュ
garniture	ガルニ
garpike	ガー
garter	ガーター
gas	ガス
gasengine	ガスエンジン
gash	ガッシュ
gasholder	ガスタンク
gasket	ガスケット
gasohol	ガソール
gasoline	ガソリン
gasometer	ガスタンク
gastrin	ガストリン
gastrocamera	ガストロカメラ
gastronome	ガストロノーム
gastronomic	ガストロノミック
gastronomist	ガストロノミスト
gastronomy	ガストロノミー
gate	ゲート
gateau	ガトー
gateway	ゲートウェイ
gather	ギャーザー
gattable	ガッタブル
gaucho	ガウチョ
gauge	ゲージ
gauntlet	ガントレット
gauss	ガウス
gauze	ガーゼ
gavage	ゾンデ
gavial	ガビアル
gavotte	ガボット
gay	ゲイ
gazania	ガザニア
gazelle	ガゼル
gazpacho	ガスパーチョ
gear	ギア
gearshift	ギアシフト
geek	オタ
geeky	オタッキー
gel	ゲル
gelatin	ジェラチン
gelatine	ジェラチン
gelato	ジェラート
gem	ジェム
gemeinschaft	ゲマインシャフト
gemstone	ジェムストーン
gendarme	ジャンダルム
gender	ジェンダー
gene	ゲン
general	ジェネラル
generalist	ジェネラリスト
generate	ジェネレート
generation	ジェネレーション
generator	ジェネレータ
generic	ジェネリック
genetic	ジェネティック
genius	ジーニアス
genocide	ジェノサイド
genome	ゲノム
genomics	ジェノミクス
genre	ジャンル
gentian	ゲンチアナ
gentleman	ジェントルマン
gently	フンワリ
gentry	ジェントリ
geodesic	ジェオデシック
geodome	ジェオドーム
geography	ジオグラフィー
geoid	ジオイド
geology	ジオロジー
geometric	ジオメトリック
geometry	ジオメトリー
geopolitic	ゲオポリティーク
geopolitics	ゲオポリティーク
georgette	ジョーゼット
geosynthetic	ジオシンセティックス
geranium	ゼラニウム
gerbera	ガーベラ
germane	ゲルマン
germanium	ゲルマニウム
germon	ビンナガ
gerontocracy	ジェロントクラシー
gerontology	ジェロントロジー
gerrymander	ゲリマンダー
gerund	ジェランド
gesellschaft	ゲゼルシャフト
gestalt	ゲシュタルト
gesture	ジェスチャ
getter	ゲッター
gharial	ガビアル
ghee	ギー
ghetto	ゲットー
ghost	ゴースト
ghoul	ガキ
giant	ジャイアント
gibberellin	ギベレリン
gibbon	ギボン
gift	ギフト
gig	ギグ
giga-	ギガ
gigabit	ギガビット
gigabyte	ギガバイト
gigahertz	ギガヘルツ
gigaton	ギガトン
giggle	クックッ
gigolette	ジゴレット
gigolo	ジゴロ
gigue	ジーグ
gill	ジル
gilt	ギルト
gilt-top	ギルトトップ
gimlet	ギムレット
gimmick	ギミック
gin	ジン
ginger	ショウガ
gingersnap	ジンジャースナップ
gingham	ギンガム
giocoso	ジョコーソ
gipsy	ジプシー
giraffe	キリン
girdle	ガードル
girl	ガール
girlfriend	ガールフレンド
give	ギブ
give-and-take	ギブアンドテイク
glace	グラッセ
glacier	グレーシャー
glacis	グラッシ
gladiator	グラディエーター
gladiolus	グラジオラス
gladius	グラディウス
glamor	グラマー
glamorous	グラマラス
glamour	グラマー
gland	グランド
glans	グランス
glare	グレア
glasnost	グラスノスチ
glass	ガラス
glaucoma	グラウコーマ
glee	グリー
glibc	ジーリブシー
glider	グライダー
gliding	グライディング
glimmer	キラメキ
glimpse	グリンプス
glissade	グリセード
glissando	グリッサンド
glisten	キラキラ
glitch	グリッチ
glitter	キラキラ
global	グローバル
globalisation	グローバライゼイション
globalism	グローバリズム
globalist	グローバリスト
globalization	グローバライゼイション
globe	グローブ
globefish	フグ
globin	グロビン
globule	グロビュール
globulin	グロブリン
gloomy	グルーミー
gloria	グローリア
gloriosa	グロリオーサ
glory	グローリー
glossary	グロッサリー
glossolalia	グロッソラリア
glossy	グロッシー
glove	グラブ
glowstick	グロースティック
gloxinia	グロキシニア
glucagon	グルカゴン
glucocorticoid	グルココルチコイド
glucosamine	グルコサミン
glucose	グルコース
glucoside	グルコシド
glue	グルー
glug-glug	チャプチャプ
glugging	コクン
gluon	グルーオン
glutamine	グルタミン
glutathione	グルタチオン
glutelin	グルテリン
gluten	グルテン
glutton	クズリ
glyceraldehyde	グリセルアルデヒド
glyceride	グリセリド
glycerin	グリセリン
glycerol	グリセリン
glycine	グリシン
glycogen	グリコーゲン
glycol	グリコール
glycosidase	グリコシダーゼ
glycoside	グリコシド
glyoxysome	グリオキシソーム
glyph	グリフ
gnat	ブユ
gnomefish	ムツ
gnosis	グノーシス
go	ゴー
go-cart	ゴーカート
go-go	ゴーゴー
goal	ゴール
goalkeeper	ゴールキーパー
goat	ゴート
goatability	ゴータビリティー
goatskin	ゴートスキン
goblet	ゴブレット
goblin	コーボルト
gochujang	コチジャン
god	カムイ
godfather	ゴッドファーザー
godsend	タナボタ
goggles	ゴーグル
goggling	ギョロリ
gold	ゴールド
goldcrest	キクイタダキ
golden	ゴールデン
golem	ゴーレム
golf	ゴルフ
golfer	ゴルファー
gompa	ゴンパ
gonadotropin	ゴナドトロピン
gondola	ゴンドラ
gong	ゴング
goo	グー
good	グー
good-bye	アディオス
good-looking	グッドルッキング
goodby	グッドバイ
goodbye	グッドバイ
goodies	ゴチ
goods	インベントリ
gook	チョンカス
gooseberry	グスベリー
goosefish	アンコウ
gopher	ゴーファ
gore-Gore-tex	ゴラテックス
gorge	ゴルジュ
gorgeous	ゴージャス
gorilla	ゴリラ
gospel	ゴスペル
gossip	ゴシップ
gothic	ゴシック
gouache	ガッシュ
gouge	ゴージ
goulash	グーラッシュ
gourami	グーラミ
gourd	ヒョウタン
gourmand	グールマン
gourmet	グールメ
governability	ガバナビリティー
governance	ガバナンス
government	ガバメント
governor	ガバナー
gown	ガウン
grace	グレイス
gradation	グラデーション
grade	グレード
grader	グレーダー
gradient	グラディエント
gradually	ボチボチ
graffiti	グラフィティ
grain	グレーン
gram-calorie	グラムカロリー
gram-ton	グラムトン
grammar	グラマー
grand	グランデ
grandstand	グランドスタンド
grandstanding	スタンドプレー
granite	グラニット
grannyvine	ソライロアサガオ
granola	グラノーラ
grant	グラント
granularity	グラニュラリティ
granulated	グラニュー
granulite	グラニュライト
grape	グレープ
grapefruit	グレープフルーツ
graph	グラフ
graph-matching	グラフマッチング
graphic	グラフィック
graphical	グラフィカ
graphics	グラフィクス
graphite	グラファイト
grappa	グラッパ
grass	グラス
grasshopper	グラスホッパー
gratin	グラタン
gratuity	チップ
grave	グレイブ
gravel	グラベル
graver	グレーバー
graviton	グラビトン
gravure	グラビア
gravy	グレイビー
gray	グレイ
gray-collar	グレーカラー
graying	グレーイング
grayling	ジャノメチョウ
grease	グリース
greasy	オイリー
great	グレート
grebe	カイツブリ
greeking	グリーキング
green	グリーン
greenback	グリーンバック
greenbottle	キンバエ
greenhouse	グリーンハウス
greenism	グリーニズム
greenling	アブラメ
greenmail	グリーンメール
greenmailer	グリーンメーラー
greenshank	アオアシシギ
gremlin	グレムリン
grenade	グレネード
grep	グレップ
grey	グレイ
grey-collar	グレーカラー
greyhen	クロライチョウ
greyhound	グレーハウンド
greying	グレーイング
gribble	キクイムシ
grid	グリット
gridding	グリッディング
griffon	グリフォン
grill	グリル
grim	イカチー
grimoire	グリモア
grind	グラインド
grinder	グラインダー
gringo	グリンゴ
grip	グリップ
griseofulvin	グリセオフルビン
grissini	グリッシーニ
grit	グリット
groaning	ミシミシ
grocery	グローサリー
grog	グロッグ
groggy	グロッキー
grommet	グロメット
groomer	グルーマー
grooming	グルーミング
groove	グルーヴ
groovy	グルービー
grosgrain	グログラン
gross	クロース
grotesque	グロ
ground	アース
grounder	グラウンダー
groundkeeper	グラウンドキーパー
groundsheet	グラウンドシーツ
groundwork	グラウンドワーク
group	グループ
groupie	グルーピー
grouping	グルーピング
grouping-effect	グルーピングエフェクト
groupware	グループウェア
grout	グラウト
grouting	グラウチング
growling	グーグー
growth	マシ
grunge	グランジ
grunt	グラント
gruyere	グリュイエール
guacamole	グワカモーレ
guaiacol	グアヤコール
guaiacum	グアヤク
guanaco	グアナコ
guanidine	グアニジン
guanine	グアニン
guano	グアノ
guanosine	グアノシン
guarana	ガラナ
guarantee	ギャラ
guaranty	ギャランティー
guard	ガード
guardian	ガーディアン
guardrail	ガードレール
guava	グアバ
gudgeon	モロコ
guenon	グェノン
guernsey	ガーンジー
guerrilla	ゲリラ
guest	ゲスト
guesthouse	ゲストハウス
guffaw	アッハッハ
guidance	ガイダンス
guidebook	ガイドブック
guideline	ガイドライン
guidepost	ガイドポスト
guignol	ギニョール
guild	ギルド
guilder	ギルダー
guile	ガイル
guillotine	ギヨチン
guinea	ギニー
guitar	ギター
guitarist	ギタリスト
gukbap	クッパ
gulden	グルデン
gull	カモメ
gully	ガリ
gum	ゴム
gumbo	ガムボ
gumdrop	ガムドロップ
gummi	グミ
gun	ガン
gunfight	ガンファイト
gunfighter	ガンファイター
gunman	ガンマン
gunmetal	ガンメタル
gunner	ガンナー
gunny	ガンニー
guppy	グッピー
gush	ガッシュ
gushing	ザブザブ
gust	ガスト
gut	ガット
guts	ガッツ
guttapercha	グッタペルカ
gutter	ガタ
guy	ガイ
guyot	ギュヨー
gym	アスレチッククラブ
gymkhana	ジムカーナ
gymnasium	ギムナジウム
gymnastics	ジムナスチックス
gymnema	ギムネマ
gyoza	ギョーザ
gypsum	ギブス
gypsy	ジプシー
gyro	ジャイロ
gyrocompas	ジャイロ
gyrocompass	ジャイロコンパス
gyrocopter	ジャイロコプター
gyropilot	ジャイロパイロット
gyroscope	ジャイロ
gyrostabilizer	ジャイロスタビライザー
gzip	ジージップ
habitation	アビタシオン
hacker	コンピュータマニア
haddock	モンツキダラ
haematoma	ヘマトーマ
haemoglobin	ヘモグロビン
hagfish	メクラウナギ
hair	ヘア
hair-dresser	ヘアメイクアーティスト
hairbrush	ヘアブラシ
hairclip	ヘアピン
hairdye	ヘアダイ
hairgrip	ヘアピン
hairnet	ヘアネット
hairpiece	ヅラ
hairstyle	ヘアースタイル
hairy	モサモサ
halibut	オヒョウ
hall	ホール
halloo	ヤッホー
halterneck	ホールターネック
haltingly	モジモジ
hamadryad	キングコブラ
hamster	キヌゲネズミ
handcuffs	ワッパ
handheld	ケイタイ
handout	プリント
hang	コツ
hanger-on	アブラムシ
happy	ルンルン
hard	ビンビン
hare	ウサギ
harpsichord	チェンバロ
harsh	クソミソ
harum-scarum	スットンキョー
harvestman	ユウレイグモ
haste	ヘイスト
hat	シャッポ
hawfinch	シメ
hawk	ホーク
hawkmoth	スズメガ
hawthorn	サンザシ
hazelnut	ヘーゼルナッツ
hazy	モヤモヤ
head	クビ
head-hunting	ヘッドハンティング
head-mounted	ヘッドマウンテッド
head-room	ヘッドルーム
headband	ヘドバン
headboard	ヘッドボード
headend	ヘッドエンド
header	ヘッダ
headgear	ヘッドギア
headhunter	ヘッドハンター
heading	ヘッディング
headlamp	ヘッドランプ
headless	ヘッドレス
headlight	ヘッドライト
headline	ヘッドライン
headlock	ヘッドロック
headphone	ヘッドフォン
headpin	ヘッドピン
headquarters	ヘッドクォーター
headrest	ヘッドレスト
headset	ヘッドセット
headspin	ヘッドスピン
headstock	ヘッドストック
headwork	ヘッドワーク
health	ヘルス
healthy	ヘルシー
hearing	ヒヤリング
heart	ヘルツ
heartbeat	プルス
heat	チャカ
heater	ストーブ
heather	ヘザー
heave!	オーエス
heave-ho	エッサッサ
heaven	ヘブン
heavily	コテコテ
heavy	ヘヴィ
hectare	ヘクタール
hecto-	ヘクト
hectogramme	ヘクトグラム
hectolitre	ヘクトリットル
hectometre	ヘクトメートル
hectopascal	ヘクトパスカル
hedge	ヘッジ
hedgehog	ヘッジホッグ
hedging	ヘッジング
hedonism	ヘドニズム
hedonist	ヘドニスト
hegemony	ヘゲモニー
helical	ヘリカル
helicoid	ヘリコイド
helicopter	ヘリ
heliometer	ヘリオメーター
helioscope	ヘリオスコープ
heliostat	ヘリオスタット
heliotrope	ヘリオトロープ
heliotropin	ヘリオトロピン
heliox	ヘリオックス
heliport	ヘリポート
helium	ヘリウム
helix	ヘリックス
hell	ヘル
hellfire	ヘルファイア
helm	ヘルム
helmet	ヘルメット
help	ヘルプ
helper	ヘルパー
hem	ヘム
hematite	ヘマタイト
hematocrit	ヘマトクリット
hematoma	ヘマトーマ
heme	ヘム
hemerocallis	カンゾウ
hemicellulose	ヘミセルロース
hemin	ヘミン
hemline	ヘムライン
hemlock	ヘムロック
hemocyanin	ヘモシアニン
hemoglobin	ヘモグロビン
hemosiderin	ヘモジデリン
hemp	ヘンプ
hemstitch	ヘムステッチ
henbane	ヒヨス
henbit	ホトケノザ
henna	ヘンナ
henry	ヘンリー
heparin	ヘパリン
heptane	ヘプタン
herald	ヘラルド
hernia	ヘルニア
heroic	ヒロイック
heroin	ヘロイン
heroine	ヒロイン
heroism	ヒロイズム
herpangina	ヘルパンギーナ
herpes	ヘルペス
herpesvirus	ヘルペスウイルス
herringbone	ヘリングボーン
hertz	ヘルツ
hesitantly	モジモジ
hetero	ヘテロ
heterocaryon	ヘテロカリオン
heterochromatin	ヘテロクロマチン
heterodox	ヘテロドックス
heterodoxy	ヘテロドキシー
heterodyne	ヘテロダイン
heterogeneous	ヘテロジーニアス
heterosis	ヘテローシス
heuristic	ヒューリスティク
heuristics	ヒューリスティクス
hexachloroethane	ヘキサクロロエタン
hexadecane	ヘキサデカン
hexane	ヘキサン
hexogen	ヘキソーゲン
hexose	ヘキソース
hexoxy	ヘキソキシ
hexylresorcin	ヘキシルレゾルシン
hey	ヘイ
hi-de-ho	ヤッホー
hibiscus	ヒビスカス
hick	カッペ
hickey	キスマーク
hideout	アジト
highway	エクスプレスウエー
hijab	ヘジャブ
hijacker	スカイジャッカー
hill	ヒル
hillbilly	ヒルビリー
hinge	ヒンジ
hinny	ケッテイ
hinoki	ヒバ
hint	ヒント
hinterland	ヒンターランド
hip-hop	ヒップホップ
hipline	ヒップライン
hippopotamus	カバ
hips	コシ
hirudin	ヒルジン
hiss	シューシュー
hit-and-run	エンドラン
hives	ジンマシン
hmm	ウーン
hob	ホブ
hobby	ホビー
hobo	ホーボー
hock	ホック
hockey	ホッケー
hog	ホッグ
hoist	ホイスト
hoki	ホキ
hold	ホールド
holder	ホールダー
holding	ホールディング
hole	ホール
hole-in-the-wall	キャッシュサービスコーナー
holey	ボコボコ
holiday	ホリデイ
holism	ホリズム
holistic	ホリスティック
hollow	スカスカ
hollyhock	タチアオイ
holmium	ホルミウム
holocaust	ホロコースト
hologram	ホログラム
holographic	ホログラフィック
holography	ホログラフィ
holster	ホルスター
holy	ホリー
homage	オマージュ
homatropine	ホマトロピン
homburg	ホンブルグ
home	ホーム
home-and-away	ホームアンドアウェー
home-directory	ホームディレクトリ
homeless	ホームレス
homemade	ホームメイド
homemaker	ホームメーカー
homeobox	ホメオボックス
homeopathy	ホメオパシー
homeosis	ホメオーシス
homeostasis	ホメオスタシス
homepage	ホメパゲ
homer	ホーマー
homeroom	ホームルーム
homerun	アーチ
homesick	ホームシック
homespun	ホームスパン
homestay	ホームステイ
homestretch	ホームストレッチ
hometown	ホームタウン
homework	ホームワーク
homing	ホーミング
hominization	ホミニゼーション
hommus	フムス
homo	ホモ
homocaryon	ホモカリオン
homocysteine	ホモシステイン
homogenise	ホモゲナイズ
homogenize	ホモゲナイズ
homonculus	ホムンクルス
homonym	ホモニム
homophony	ホモフォニー
homosexual	ブルーセッカス
homunculus	ホムンクルス
honeyeater	ミツスイ
honeyguide	ミツオシエ
honing	ホーニング
honky-tonk	ホンキートンク
honor	オナー
honour	オナー
hood	フード
hoodlum	チンピラ
hook	サビ
hooker	フッカー
hooking	フッキング
hooligan	フーリガン
hoop	フープ
hop	ホップ
hope	エスポワール
hopeless	ダメ
hopper	ホッパー
hops	ホップ
horde	ホルド
horizon	ホリゾント
hormone	ホルモン
horn	ホーン
hornbill	サイチョウ
hornet	スズメバチ
hornfels	ホルンフェルス
horoscope	ホロスコープ
horror	ホラー
horsefly	アブ
horsepower	ホースパワー
horseradish	ホースラディッシュ
hosanna	ホサナ
hose	ホース
hosiery	メリアス
hospice	ホスピス
hospital	ホスピタル
hospitalism	ホスピタリズム
hospitality	ホスピタリティ
host	ホスト
host-name	ホストネーム
hosta	ギボウシ
hostel	ホステル
hosteler	ホステラー
hostess	ホステス
hosts	ホスツ
hot	ホット
hot-key	ホットキー
hotcakes	ホットケーキ
hotel	ホテル
hotel-keeper	ホテルマン
hotlink	ホットリンク
hotlist	ホットリスト
hotpants	ホットパンツ
hotplate	ホットプレート
hour	アウア
house	カーサ
house-training	クレートトレーニング
housebreaking	クレートトレーニング
housefly	イエバエ
housing	キャビネット
hovering	ホバリング
httpd	エイチティーティーピーディー
huangjiu	ホワンチュー
hug	ムギュウ
hugging	ムギュウ
hum	ブーン
human	ウタリ
humanisation	ヒューマニゼーション
humanism	ヒューマニズム
humanist	ヒューマニスト
humanistic	ヒューマニスティック
humanity	ヒューマニティー
humanization	ヒューマニゼーション
humanlike	ヒューマンライク
humanoid	ヒューマノイド
hummus	フムス
humor	ヒューマー
humoresque	ユーモレスク
humorist	ユーモリスト
humorous	ユーモラス
humour	ヒューマー
humourous	ユーモラス
humus	フムス
hunk	イケメン
hurrah	フラー
hurray	フレー
hut	ヒュッテ
hyacinth	ヒヤシンス
hydra	ヒドラ
hydrangea	アジサイ
hydrazide	ヒドラジド
hydrazine	ヒドラジン
hydrilla	クロモ
hydrocortisone	ヒドロコルチゾン
hydrogel	ヒドロゲル
hydrolase	ヒドロラーゼ
hydropolyp	ヒドロポリプ
hydroquinone	ヒドロキノン
hydrosol	ヒドロゾル
hydroxyapatite	ヒドロキシアパタイト
hyle	ヒュレー
hymn	ヒム
hyoscyamine	ヒヨスチアミン
hyper-	チョー
hypnosis	ヒプノシス
hypochondria	ヒポコンデリー
hypocrite	ヒポクリット
hyracotherium	エオヒップス
hyrax	イワダヌキ
hysteric	スットンキョー
i-beam	アイビーム
i.LINK	アイリンク
i486	アイヨンハチロク
iAnywhere	アイエニウェア
iBook	アイブック
iCOMP	アイコンプ
iMac	アイマック
iPaq	アイパック
ibex	アイベックス
ibis	アイビス
ibuprofen	イブプロフェン
ice	アイス
iceberg	アイスバーグ
icebox	アイスバックス
icebreaker	アイスブレイカー
icecream	アイス
icefall	アイスフォール
ichthammol	イヒチオール
ichthyornis	イクチオルニス
ichthyosaur	イクチオサウルス
ichthyosaurus	イクチオサウルス
icicle	アイシクル
icing	アイシング
icon	アイコン
iconify	アイコニファイ
iconoclasm	アイコノクラズム
iconoclasme	イコノクラスム
iconography	イコノグラフィー
iconology	イコノロジー
iconoscope	アイコノスコープ
icy	アイスィ
id	イド
idea	アイデア
ideal	アイデアル
idealism	アイディアリズム
idealist	アイディアリスト
idealize	アイデアライズ
identical	アイデンティカル
identification	アイデンティフィケーション
identify	アイデンティファイ
identity	アイデンティティ
ideologue	イデオローグ
ideology	イデオロギ
idiom	イディオム
idiot	アホ
idle	アイドゥル
idleness	アイドゥルネス
idling	アイドリング
idly	アイドゥリ
idol	アイドゥル
idyll	アイディル
igloo	イグルー
ignimbrite	イグニンブライト
igniting	ファイヤリング
ignition	イグニッション
ignoring	スルー
iguana	イグアナ
iguanodon	イグアノドン
ijtihad	イジュティハード
ilang-ilang	イランイラン
ileus	イレウス
illegal	イリーガル
illegality	イリガリティー
illite	イライト
illumination	イリュミネイション
illusion	イリュージョン
illustration	イラスト
illustrator	イラストレーター
image	イマージュ
imagemap	イメージマップ
imagesetter	イメージセッター
imagination	イマジネイション
imagine	イマジン
imagineering	イマジニアリング
imaging	イメージング
imagism	イマジズム
imago	イマーゴ
imam	イマーム
imbalance	アンバランス
imidazole	イミダゾール
imipramine	イミプラミン
imitation	イミテイション
immediate	イミディエイト
immigration	イミグレーション
immobiliser	イモビライザー
immobilizer	イモビライザー
immoral	インモーラル
impact	インパクト
impala	インパラ
impasto	インパスト
impatiens	インパチェンス
impedance	インピーダンス
impeller	インペラ
imperial	インペリアル
imperialism	インペリアリズム
implant	インプラント
implement	インプリメント
implementation	インプリメンテイション
implementor	インプリメンタ
implication	インプリケーション
import	インポート
important	インポータント
impossibility	ペケ
impossible	インポシブル
impotence	インポ
impression	インプレッション
impressionism	インプレッショニズム
impressive	インプレッシブ
imprinting	インプリンティング
impromptu	アンプロンプチュ
improvement	リニューアル
improvisation	インプロ
improvization	インプロヴァイゼィション
impulse	インパルス
in	イン
in-box	インボックス
in-house	インハウス
in-line	インライン
in-process	インプロセス
inbound	インバウンド
incense	インセンス
incentive	インセンティブ
incest	インセスト
inch	インチ
incidence	インシデンス
incident	インシデント
incinerator	インシネレタ
incline	インクライン
include	インクルード
including	ツキ
income	インカム
inconsistency	インコンシステンシー
increase	マシ
increment	インクリメント
incremental	インクリメンタル
incrementalism	インクリメンタリズム
incubate	インキュベート
incubation	インキュベーション
incubator	インキュベータ
incubus	インキュバス
incunabulum	インキュナブラ
indecent	エッチ
indent	インデント
indentation	インデンテイション
independence	インディペンデンス
independent	インディペンデント
independents	アンデパンダン
index	インデックス
indexation	インデクセーション
indexer	インデクサ
indexes	インデックス
indexing	インデキシング
indicator	インジケータ
indices	インデックス
indie	インディー
indies	インディーズ
indigo	インジゴ
indirect	インダイレクト
indium	インジウム
individual	インディビジュアル
individualism	インディビジュアリズム
individualist	インディビジュアリスト
individuality	インディビジュアリティー
indoctrination	インドクトリネーション
indocyanine	インドシアニン
indole	インドール
indolent	インドレント
indomethacin	インドメタシン
indoor	インドア
indri	インドリ
inductance	インダクタンス
induction	インダクション
inductor	インダクタ
industrial	インダストゥリアル
industry	インダストリ
inexpensive	リーズナブル
infant	インファント
inferno	インフェルノ
infield	インフィールド
infielder	インフィールダー
infighting	インファイト
infinity	インフィニティ
inflation	インフレ
inflow	インフロー
influence	インフルエンス
influenza	インフルエンザ
informal	インフォーマル
informant	インフォーマント
information	インフォ
informer	インフォーマー
infortainment	インフォテイメント
infostructure	インフォストラクチャー
infrastructure	インフラ
ingenious	インジーニャス
ingot	インゴット
inheritance	インヘリタンス
init	イニット
initial	イニシアル
initialise	イニシャライズ
initialize	イニシアライズ
initiation	イニシエーション
initiative	イニシアチブ
initiator	イニシエータ
injection	インジェクション
injector	インジェクタ
injunction	インジャンクション
ink	インキ
inking	インキング
inkstand	インクスタンド
inlay	インレー
inlet	インレット
inn	イン
inner	インナー
innerwear	インナー
inning	イニング
innkeeper	インキーパー
innocence	イノセンス
innocent	イノセント
innovation	イノベイション
inositol	イノシトール
input	インプット
insecurity	インセキュリティー
insert	インサート
insertion	インサーション
inshoot	インシュート
inside	インサイド
inside-the-parker	ランニングホームラン
insider	インサイダー
insight	インサイト
insole	インソール
inspection	インスペクション
inspector	インスペクター
inspiration	インスパイア
install	インストール
installation	インスタレーション
installer	インストーラ
installment	インストールメント
instalment	インストールメント
instance	インスタンス
instant	インスタント
instinct	インスティンクト
institute	インスティチュート
institution	インスティチューション
institutionalism	インスティチューショナリズム
instruction	インストラクション
instructions	インスト
instructor	インストラクター
instrument	インストゥルメント
instrumental	インストルメンタル
instrumentalism	インストルメンタリズム
insularity	インシュラリティー
insulation	インシュレーション
insulator	インシュレータ
insulin	インシュリン
insulinoma	インスリノーマ
insurance	インシュアランス
inswinger	インスインガー
intaglio	インタリオ
intake	インテーク
integer	インテジャ
integral	インテグラル
integrate	インテグレート
integrated	インテグレーテット
integration	インテグレーション
intellect	インテレクト
intellectual	インテルクチュアル
